cpc_group_id,cpc_subgroup_id,patent_abstract,patent_number,patent_title,patent_year
G16H,G16H20/30,"Activities, actions and events during user performance of physical activity may be detected using various algorithms and templates. Templates may include an arrangement of one or more states that may identify particular event types and timing between events. Templates may be specific to a particular type of activity (e.g., types of sports, drills, events, etc.), user, terrain, time of day and the like.",9987521,Action detection and activity classification,2018
G16H,G16H20/30,"Activities, actions and events during user performance of physical activity may be detected using various algorithms and templates. Templates may include an arrangement of one or more states that may identify particular event types and timing between events. Templates may be specific to a particular type of activity (e.g., types of sports, drills, events, etc.), user, terrain, time of day and the like.",9999806,Action detection and activity classification,2018
G16H,G16H20/17,"Penetrating systems and devices are described herein which include a penetrating portion having a fluid reservoir portion formed from two concentric hollow cylinders joined at one end with a substantially ring-shaped first end piece and associated at the other end with a substantially ring-shaped second end piece, the outer hollow cylinder including a plurality of pores in fluid communication with the fluid reservoir portion, the inner hollow cylinder defining a lumen in fluid communication with a second fluid reservoir portion, and the substantially ring-shaped second end piece forming a deformable barrier.",9919111,Active lubrication of penetrating devices,2018
G16H,G16H20/17,"Penetrating systems and devices are described herein which include a penetrating portion with two concentric hollow cylinders joined at one end with a substantially ring-shaped end piece and at the other end with a hollow structure forming a fluid reservoir portion, the outer hollow cylinder including a plurality of pores in fluid communication with the fluid reservoir portion, the inner hollow cylinder in fluid communication with a second fluid reservoir portion, and the hollow structure formed at least in part from a deformable material.",9919112,Active lubrication of penetrating devices,2018
G16H,G16H30/20,"The present invention is directed in general to imaging technologies and more particularly to medical imaging and picture archiving and communication systems (PACS) having an image display wherein system features and functions are provided to a user via active overlays located over displayed images. A system and method are provided to imbed an ability to interact with an image by activating traditional annotations that are displayed in conjunction with an image in a PACS. Users are able to access program functionalities in an improved, quicker, accurate and more intuitive means. More specifically, the present invention relates to providing the capability to customize multiple context menus, and flatten the command hierarchy of an imaging system. The present invention also provides the ability to “overload” current text and graphic annotations that are already displayed within an image of interest.",10120850,Active overlay system and method for accessing and manipulating imaging displays,2018
G16H,G16H50/30,"Electronic health records of a plurality of patients are received. A risk prediction model for a disease based on the electronic health records of the plurality of patients is created. An electronic health record of an original patient is received. A neighboring group of patients of the plurality of patients is identified, wherein the neighboring group of patients is two or more patients similar to the original patient. An ordering of the two or more patients of the neighboring group of patients is received, wherein the ordering of the two or more patients of the neighboring group of patients is based upon how similar each patient of the two or more patients is to the original patient. The risk prediction model is updated based on the ordering of the two or more patients of the neighboring group of patients.",10123748,Active patient risk prediction,2018
G16H,G16H15/00,"An activity amount-related information display apparatus according to the present invention acquires value information indicating exercise intensity, activity amount, or expended calories of a measurement subject. On a display screen, a circle corresponding to one day is set, and time divisions each indicating elapse of a unit time in the one day are set clockwise around the circle. Value information is displayed as a graph composed of a collection of bars that extend outward in a radial direction around the circle and have lengths of multiple levels, the lengths each corresponding to a value indicated by the value information for a unit time.",10058281,Activity amount-related information display apparatus,2018
G16H,G16H40/67,"A method for determining the risk of a person falling is provided. The method includes acquiring depth image data that comprises a plurality of frames that depict a person walking through a home, and extracting a foreground object from the depth image data. The method additionally includes generating a three-dimensional data object based on the foreground object, and identifying a walking sequence from the three-dimensional data object. The method further includes generating one or more gait parameters from the identified walking sequence, and comparing the one or more gait parameters against a standard clinical measure of the one or more gait parameters to determine a level of risk at which the person is of falling.",10080513,"Activity analysis, fall detection and risk assessment systems and methods",2018
G16H,G16H20/30,An activity meter (100) includes (i) a sleep level judging section (112) for repeatedly detecting a sleep level of a user and (ii) a notifying section (113) for automatically notifying the user of specific information only during a period during which a most recent sleep level is less than a predetermined level.,9999389,"Activity meter, activity amount measurement device, portable terminal, information sharing assistance device, information sharing system, activity assistance device, and activity assistance system",2018
G16H,G16H20/30,"A wearable device described herein includes a housing and a mount configured to mount the housing to an external surface of a wearer. The wearable device further includes one or more sensors configured to measure at least one physiological parameter of the wearer. The wearable device may obtain an activity metric that is based on at least one physiological parameter of the wearer measured by the one or more sensors and demographical data specific to the wearer. In some examples, the wearable may be configured to calculate the activity metric or a preliminary activity metric and to indicate the activity metric and/or preliminary activity metric to the wearer. In some examples, the wearable device may transmit the physiological parameter measurement to an external device and receive an indication of the activity metric from the external device.",9950236,Activity metric calculation for wearable devices,2018
G16H,G16H40/67,"Aspects relate to a portable device that may be used to identify a critical intensity and an anaerobic work capacity of an individual. The device may utilize muscle oxygen sensor data, speed data, or power data. The device may utilize data from multiple exercise sessions, or may utilize data from a single exercise session. The device may additionally estimate a critical intensity from a previous race time input from a user.",10111589,Activity monitoring device with assessment of exercise intensity,2018
G16H,G16H20/30,"A physical activity monitoring method and system may include a competition component requiring users to compete based on various metrics. The challenge may be device-specific, activity type-specific, user-type specific and the like. In some examples, the users' performance might only affect the status of the competition if the user synchronizes the information to an activity monitoring system.",9943724,"Activity monitoring, tracking and synchronization",2018
G16H,G16H20/30,"Systems and methods are provided for calculating point values for users who participate in activities. An activity is first captured with a sensor. A processor classifies the activity by comparing a sensor signal to templates. Once the activity is classified, an activity factor is selected. Point values are then calculated as a function of the activity factor and duration of the activity.",10034624,Activity points,2018
G16H,G16H20/30,"An athletic performance monitoring system, for motivating a user to reach a goal level of athletic activity. The system may motivate the user by calculation a deficit between a current total level of activity and the goal level of athletic activity, and suggesting activity types that the user may carry out an order to reach the goal level, wherein the suggested activity types may be based on activities that are geographically close to the user, or sporting equipment worn by, or in possession of, the user.",10008127,Activity recognition with activity reminders,2018
G16H,G16H20/30,"An athletic performance monitoring system, for motivating a user to reach a goal level of athletic activity. The system may motivate the user by calculation a deficit between a current total level of activity and the goal level of athletic activity, and suggesting activity types that the user may carry out an order to reach the goal level, wherein the suggested activity types may be based on activities that are geographically close to the user, or sporting equipment worn by, or in possession of, the user.",10026335,Activity recognition with activity reminders,2018
G16H,G16H20/17,"Some embodiments of a wearable infusion pump system can include a pump device having a drive system to dispense a medicine to a user, an activity sensor that detects a possible change in an activity level of the user, and a controller to activate the drive system to dispense the medicine to the user. The controller device can query the user to indicate whether a detected activity level of the user represents an actual change in the activity level of the user. The controller device can alter the medicine dispensing schedule based on the user indicated changes in activity level.",10117993,Activity sensing techniques for an infusion pump system,2018
G16H,G16H20/30,"A plurality of wireless vital sensors for capturing biometric data of individuals is laid out and fixed at predetermined setting locations. The vital sensors are configured to sense the biometric data of an individual via non-contact when the individual enters the sensing area of any one of the plurality of vital sensors. Moreover, there is no discomfort while the wireless vital sensor is attached or no risk of damage to or destruction of the wireless vital sensor due to collisions during games. Additionally, the measuring device also includes the identification sensors for identifying a mobile object, and the individual corresponding to the biometric data sensed by the vital sensors is identified by the RFID data from the identification sensor. Accordingly, in a configuration where the wireless vital sensors can capture the biometric data of an unspecified number of individuals, which individual the biometric data belongs to can be surely identified.",10117601,Activity status measuring device,2018
G16H,G16H50/20,"This present disclosure relates to systems and methods for providing an Adaptive Analytical Behavioral and Health Assistant. These systems and methods may include collecting one or more of patient behavior information, clinical information, or personal information; learning one or more patterns that cause an event based on the collected information and one or more pattern recognition algorithms; identifying one or more interventions to prevent the event from occurring or to facilitate the event based on the learned patterns; preparing a plan based on the collected information and the identified interventions; and/or presenting the plan to a user or executing the plan.",10152675,Adaptive analytical behavioral and health assistant system and related method of use,2018
G16H,G16H40/60,"A method includes recording, at an electronic device utilizing a microphone of the electronic device, ambient noise of an environment the electronic device is disposed in; electronically analyzing, utilizing one or more processors, the recorded ambient noise of the environment to determine one or more frequency bands to avoid; dynamically adapting, based on the electronic analysis, an auditory alert to be played at the electronic device, such adaptation including frequency equalization adjustments based on the determination of one or more frequency bands to avoid; and playing, at the electronic device utilizing one or more speakers of the electronic device, the adapted auditory alert.",9967405,Adaptive auditory alerts,2018
G16H,G16H20/70,"The invention relates to a method and to an apparatus that enables the ambience of e.g. hospital rooms to adapt according the scheduled or non-scheduled activities throughout the day. The ambience generated by lights, sound devices, image, movie displays and other devices is controlled by an ambience controller (100) in dependence of day phases defined by a patient's day schedule or in dependence of other non-scheduled phases which may have been initiated in dependence of a trigger signal (215, 216) generated in response to activities such as the entering of a caterer.",9880531,Adaptive control of ambience settings,2018
G16H,G16H50/30,"Techniques for motion artifact (MA) reduction in impedance plethysmography (IP) and other physiological signals are provided. The techniques limit the amplitude of MA filtered signals by imposing an “ε-tube.” The techniques may include the introduction of a regularization term to ensure that the pattern of a filtered signal is similar to the pattern of the primary component of the original, unfiltered signal by maximizing the regularity of the filtered signal. The techniques may be integrated into a portable monitoring device, such as an armband, to remove MA from various diagnostic signals and to extract primary signal components for producing enhanced device performance.",10034638,Adaptive epsilon-tube filter for blunt noise removal,2018
G16H,G16H15/00,"Systems and methods that continuously adapt aspects of a continuous monitoring device based on collected information to provide an individually tailored configuration are described. The adaptations may include adapting the user interface, the alerting, the motivational messages, the training, and the like. Such adaptation can allow a patient to more readily identify and understand the information provided by/via the device.",9940846,Adaptive interface for continuous monitoring devices,2018
G16H,G16H15/00,"Systems and methods that continuously adapt aspects of a continuous monitoring device based on collected information to provide an individually tailored configuration are described. The adaptations may include adapting the user interface, the alerting, the motivational messages, the training, and the like. Such adaptation can allow a patient to more readily identify and understand the information provided by/via the device.",9953542,Adaptive interface for continuous monitoring devices,2018
G16H,G16H40/63,"Systems and methods for estimating lifestyle metrics with a wearable electronic device are disclosed herein. One disclosed system may include the wearable electronic device comprising a processor and a sensor system providing inputs to the processor. The sensor system may include a high power sensor and a low power sensor. The processor may operate in a high power mode in which both sensors are operational and a low power mode in which the high power sensor is not operational. In the high power mode, the processor may compute a lifestyle metric about a user for a first time period based on first data from the high power sensor. In the low power mode, the processor may compute the lifestyle metric for a second time period based on second data from the low power sensor and the first data and/or a derivative of the first data.",9874457,Adaptive lifestyle metric estimation,2018
G16H,G16H40/63,"A method and system for filtering a detected ECG signal are disclosed. In a first aspect, the method comprises filtering the detected ECG signal using a plurality of digital filters. The method includes adaptively selecting one of the plurality of digital filters to maintain a minimum signal-to-noise ratio (SNR). In a second aspect, the system comprises a wireless sensor device coupled to a user via at least one electrode, wherein the wireless sensor device includes a processor and a memory device coupled to the processor, wherein the memory device stores an application which, when executed by the processor, causes the processor to carry out the steps of the method.",10123716,Adaptive selection of digital egg filter,2018
G16H,G16H20/17,"Infusion systems, infusion devices, and related operating methods are provided. An exemplary method of operating an infusion device involves obtaining a filtered measurement indicative of a physiological condition of a user, determining a metric indicative of a characteristic of the filtered measurement based at least in part on one or more derivative metrics associated with the filtered measurement, and determining an output measurement indicative of the physiological condition of the user based at least in part on the filtered measurement, the metric, and a previous output measurement.",10007765,Adaptive signal processing for infusion devices and related methods and systems,2018
G16H,G16H10/20,"A watch or other type of portable electronic console that employs a number of different functions in order to improve its usability. The watch may, for example, allow a user to connect the watch to one or more remote electronic devices, such as an electronic performance sensor or MP3 player. The watch then displays information related to the connected electronic devices. Still further, the watch may allow a user to control the operation of one or more connected remote electronic devices. Thus, if the watch is connected to a remote speed/distance monitor employing a calibration variable, then the watch may allow the user to adjust the calibration variable.",10080503,Adaptive watch,2018
G16H,G16H50/30,"An example method comprises receiving a protocol associated with a particular medical condition, selecting a subset of the events of the protocol to be adherence objects of an adherence path, determine a time frame predicate for each adherence object, determine an object predicate for each adherence object, retrieving patient information from medical records of patients of the medical entity, determining for each adherence object if each particular adherence object was performed as a part of that patient's treatment related to the medical condition including determining if the time frame predicate and object predicate are satisfied, and generating patient adherence object score for each adherence object of the adherence path, generating a medical entity adherence score based on the patient adherence object scores, the medical entity adherence score indicating that medical entity's compliance with the adherence path, and generating a report indicating the medical entity adherence score.",10152575,Adherence measurement for carepath protocol compliance,2018
G16H,G16H20/17,"A system for modulating delivery of a fluid medium to a selected site within a patient's body includes a syringe for injecting the fluid medium, a delivery catheter including a conduit for delivering the fluid medium from outside of the body to the selected site within the body, a medium reservoir configured to receive a portion of the fluid medium, and a flow diverter assembly disposed in a fluid medium flow path between the syringe and the delivery catheter. The syringe includes a chamber for receiving the fluid medium therein. The flow diverter assembly is configured to divert the portion of the fluid medium from the chamber of the syringe away from the delivery of the medium through the delivery catheter conduit during injecting with the syringe, and simultaneously increase medium fluid flow resistance with increasing pressure level of the fluid medium within the flow diverter assembly.",10010673,Adjustable medium diverter,2018
G16H,G16H20/30,Adjusting settings of an exercise machine is provided. Data is received from a set of monitoring devices at a workstation. Software applications currently executing on the workstation are monitored. A signal is sent to a control module of the exercise machine adjusting one or more settings of the exercise machine based on changes in the software applications currently executing on the workstation.,9901780,Adjusting exercise machine settings based on current work conditions,2018
G16H,G16H50/30,"Methods are herein provided for decision support in diagnosis of a disease in a subject, and for extracting features from a multi-slice data set. Systems for computer-aided diagnosis are provided. The systems take as input a plurality of medical data and produces as output a diagnosis based upon this data. The inputs may consist of a combination of image data and clinical data. Diagnosis is performed through feature selection and the use of one or more classifier algorithms.",10121243,Advanced computer-aided diagnosis of lung nodules,2018
G16H,G16H10/60,"An automatic medical image processing system includes a series of operation stages, each automating specifying the image processing parameters for processing medical images. In response to an image processing indicator, a first medical image is automatically identified, including determining a first image operation and image processing parameters, without user intervention. The first image operation is performed on the first medical image based on the image processing parameters. A second medical image is generated and transmitted to the client device to be presented therein. The client device displays a message prompting the user whether the user is satisfied with the second medical image. In response to a user input from the client device indicating that the user is unsatisfied with the second medical image, one or more remedial options are presented to allow the user selecting a remedial action to reprocess the first medical image.",10025479,Advanced medical image processing wizard,2018
G16H,G16H40/63,"Systems, devices and methods for using environmental data to manage health care are disclosed. One aspect is an advanced patient management system. In various embodiments, the system includes at least one implantable medical device (IMD) to acquire at least one IMD parameter indicative of patient wellness, means to acquire at least one environmental parameter from at least one external source, and means to correlate the at least one parameter indicative of patient wellness and the at least one environmental parameter to assist with patient health care decisions. Other aspects and embodiments are provided herein.",10092186,Advanced patient management with environmental data,2018
G16H,G16H20/17,"Embodiments relate to systems, methods and devices for delivering a drug or other therapy to a patient with an ambulatory infusion pump configured to provide a series of tolerance-building steps leading up to a plateau delivery rate. The plateau delivery rate is maintained until the prescribed amount of drug or therapy fluid is delivered to the patient. Embodiments of the invention include providing the patient or other user with a mechanism to decrease, or step down, the therapy delivery rate if a tolerance was not achieved at a lower rate, and providing notifications prior to a step up in a dosage delivery rate.",10016559,Advanced step therapy delivery for an ambulatory infusion pump and system,2018
G16H,G16H10/60,A method includes receiving an input indicative of at least one factor that contributes to the development of pressure ulcers; determining a risk score as a function of the input; comparing the risk score to a previous risk score; and at least one of activating a therapy configured to reduce the magnitude of the factor and notifying a caregiver if the risk score is greater than the previous risk score.,9861550,"Adverse condition detection, assessment, and response systems, methods and devices",2018
G16H,G16H10/20,"Agents operating at call centers or other customer support service networks may assist large numbers of customers consecutively and in a dynamic manner. One example may include populating a portion of a first agent user interface of a first agent device with a first customer profile, identifying a second agent device currently assigned a second customer call with second customer call information related to the first customer call information, comparing the first customer call information to the second customer call information, determining the second customer call information exceeds a relevancy threshold when compared to first customer call information, populating a portion of a second agent user interface of the second agent device with the portion of the first agent user interface, and updating the first agent user interface by removing the first customer call information and providing another customer call to the first user agent device.",9986092,Agent application and integrated call processing platform,2018
G16H,G16H40/63,"A method and system for providing medical assistance onboard an aircraft is provided. A number of secure wireless connections are established between an onboard device located on the aircraft and a remote device located remotely with respect to the aircraft, to enable communications between a device operator using the onboard device and a medical professional using the remote device. Information about a medical event that occurs onboard the aircraft is sent from the onboard device to the remote device using the number of secure wireless connections. A medical assessment of the medical event by the medical professional is received at the onboard device from the remote device over the number of secure wireless connections.",10157264,Aircraft medical management system,2018
G16H,G16H40/63,"An apparatus for modifying alarms at a medical device for alarm fatigue management is provided and includes an alarm monitor, an alarm filter, an alarm modifier, a memory element for storing data, and a processor that executes instructions associated with the data, wherein the processor and the memory element cooperate such that the apparatus is configured for receiving an alarm condition from an alarm management engine, the alarm condition based on an alarm fatigue level of a user of the medical device, the alarm fatigue level based on at least a user fatigue model, a medical device model and a patient condition, receiving an alarm from the medical device, modifying the alarm according to the alarm condition, the alarm condition being configured to increase a likelihood of the user responding to the modified alarm, and generating an alarm indicator based on the modification.",10123729,Alarm fatigue management systems and methods,2018
G16H,G16H40/63,"An alarm notification apparatus includes an event detector for monitoring vital information of a body, such as a blood pressure and electrocardiogram, to check whether an anomalous event has occurred to the body. A reliability evaluator evaluates reliability of a result of detection of the anomalous event in the event detector. A notifier selects at least one addressee according to the reliability among plural predetermined addressees, and notifies the selected addressee of occurrence of the anomalous event. Preferably, a storage area is used for storing error log data expressing a false detection of an anomalous event in spite of non-occurrence of an anomalous event. Assuming that the event detector detects the anomalous event, the reliability evaluator obtains the reliability according to the error log data. Thus, it is possible to reduce influence of the false detection due to measurement artifact.",9895111,"Alarm notification apparatus, system and method for diagnostic monitoring",2018
G16H,G16H15/00,"The invention provides a body-worn monitor that measures a patient's vital signs (e.g. blood pressure, SpO2, heart rate, respiratory rate, and temperature) while simultaneously characterizing their activity state (e.g. resting, walking, convulsing, falling). The body-worn monitor processes this information to minimize corruption of the vital signs by motion-related artifacts. A software framework generates alarms/alerts based on threshold values that are either preset or determined in real time. The framework additionally includes a series of ‘heuristic’ rules that take the patient's activity state and motion into account, and process the vital signs accordingly. These rules, for example, indicate that a walking patient is likely breathing and has a regular heart rate, even if their motion-corrupted vital signs suggest otherwise.",9901261,Alarm system that processes both motion and vital signs using specific heuristic rules and thresholds,2018
G16H,G16H10/60,"Methods, computer systems, and computer-storage medium are provided for managing patient alerts using a mobile device. A mobile device associated with a patient caregiver receives a critical alert related to the patient, and the alert is presented on the mobile device. The alert includes important contextual information that enables the caregiver to make a quick assessment of how to effectively address the alert. The alert includes options for accepting the alert or rejecting the alert. Acceptance of the alert enables the caregiver to communicate the alert to selected caregivers that can assist in managing the alert. Rejecting the alert causes the alert to be automatically communicated to additional caregivers associated with the patient.",10121346,Alert management utilizing mobile devices,2018
G16H,G16H10/60,"Methods, computer systems, and computer-storage medium are provided for managing patient alerts using a mobile device. A mobile device associated with a patient caregiver receives a critical alert related to the patient, and the alert is presented on the mobile device. The alert includes important contextual information that enables the caregiver to make a quick assessment of how to effectively address the alert. The alert includes options for accepting the alert or rejecting the alert. Acceptance of the alert enables the caregiver to communicate the alert to selected caregivers that can assist in managing the alert. Rejecting the alert causes the alert to be automatically communicated to additional caregivers associated with patient.",9881475,Alert management utilizing mobile devices,2018
G16H,G16H10/60,"Methods, computer systems, and computer-storage medium are provided for managing patient alerts using a mobile device. A mobile device associated with a patient caregiver receives a critical alert related to the patient, and the alert is presented on the mobile device. The alert includes important contextual information that enables the caregiver to make a quick assessment of how to effectively address the alert. The alert includes options for accepting the alert or rejecting the alert. Acceptance of the alert enables the caregiver to communicate the alert to selected caregivers that can assist in managing the alert. Rejecting the alert causes the alert to be automatically communicated to additional caregivers associated with patient.",9911300,Alert management utilizing mobile devices,2018
G16H,G16H20/40,"A dialysis machine comprising: a first sensor for detecting motion of a patient; a second sensor for detecting a health condition of the patient; a processing module for: controlling dialysis functions of a dialysis treatment; receiving information related to a status of the dialysis treatment in which toxins are removed from blood of the patient; receiving, from the first sensor, information related to the motion of the patient; receiving, from the second sensor, information related to the health condition of the patient; and identifying an emergency condition based at least in part on the information related to the motion of the patient, the information related to the health condition of the patient, and the information related to the status of the dialysis treatment; and a transceiver for: in response to identifying an emergency condition, sending a notification that includes patient information to one or more remote entities.",10016549,Alert on a dialysis machine,2018
G16H,G16H10/40,"Safe and effective exercise poses a specific set of challenges for subjects diagnosed with diabetes. These challenges include the coordination of exercise with blood glucose monitoring and insulin administration. Failure to coordinate these factors effectively can lead to various pathologies related to aberrant blood glucose levels. Presented herein are methods, systems, algorithms, computer program products, and computer-executable code for exercise guidance and instruction specific to diabetes relief and management. The approaches as disclosed herein can help ameliorate, slow, or reduce a likelihood of developing a diabetic condition.",9861310,Algorithms for diabetes exercise therapy,2018
G16H,G16H50/20,"The present invention relates to compositions and methods for molecular profiling and diagnostics for genetic disorders and cancer, including but not limited to gene expression product markers associated with cancer or genetic disorders. In particular, the present invention provides algorithms and methods of classifying cancer, for example, thyroid cancer, methods of determining molecular profiles, and methods of analyzing results to provide a diagnosis.",9856537,Algorithms for disease diagnostics,2018
G16H,G16H10/60,"Methods, computer systems, and computer-readable storage media for monitoring and managing patient discomfort are provided. Inputs are received from ambient sensors located in a clinical care room. Based on a determination that the inputs exceed predetermined thresholds, it is determined that the patient is experiencing discomfort. Various measures are automatically initiated to help diminish the patient's discomfort. The measures include aromatherapy, visual relaxation therapy, audio therapy, and automatic administration of pain relief.",10034979,Ambient sensing of patient discomfort,2018
G16H,G16H50/50,"A method for estimating and tracking refractive error progression of an individual includes estimating a percentile of Spherical Equivalent Refraction (SPHEQ) as a function of at least the individual's age by comparison to a reference population; estimating an expected SPHEQ trajectory over a future predetermined period of time; comparing the expected SPHEQ trajectory with the reference population; and comparing the expected SPHEQ trajectory with an expected SPHEQ trajectory using an ametropia control treatment, thereby showing a possible treatment benefit over the predetermined period of time.",10042181,Ametropia treatment tracking methods and system,2018
G16H,G16H50/50,"Systems and methods are provided to detect and analyze arrhythmia drivers. In one example, a system can include a wave front analyzer programmed to compute wave front lines extending over a surface for each of the plurality of time samples based on phase information computed from electrical data at nodes distributed across the surface. A trajectory detector can be programmed to compute wave break points for each of the wave front lines and to determine a trajectory of at least one rotor core across the surface. A stability detector can be programmed to identify at least one stable rotor portion corresponding to subtrajectories of the determined trajectory.",10117594,Analysis and detection for arrhythmia drivers,2018
